news_article,news_category,
"While virtual reality headsets are perhaps most commonly used for gaming, there¡¯s a lot more that can be done in VR and we ask the important question of is it possible to work in VR? Thanks to the best VR headsets, VR has so much to offer. There are interactive VR experiences, live events, mindfulness exercises, as well as VR fitness apps, but what about doing actual work in VR?",technology,
"Now a team of Chan Zuckerberg Biohub scientists has developed a machine learning method to quantitatively analyze and compare images¡ªin this case microscopy images of proteins¡ªwith no prior knowledge. As reported in Nature Methods, their algorithm, dubbed ""cytoself,"" provides rich, detailed information on protein location and function within a cell. This capability could quicken research time for cell biologists and eventually be used to accelerate the process of drug discovery and drug screening.",science,
"Researchers have made a breakthrough in quantum technology development that has the potential to leave today¡¯s supercomputers in the dust, opening the door to advances in fields including medicine, chemistry, cybersecurity and others that have been out of reach.",science,
"Samsung kicks it off next week, on August 10, when it will announce new folding phones, giving it a chance to attract consumers before Apple holds its iPhone event in September. The new products at Apple¡¯s fall events have a direct impact on the company¡¯s balance sheet. The holiday quarter is typically Apple¡¯s biggest. It reported record revenue last year for the three months ended Dec. 25, for example.",technology,
"Google has promised to launch its next phone with a brand new chip, and its first Apple Watch competitor, this fall. And don¡¯t forget Amazon: It typically announces new Echos, Fire TV products and sometimes tosses in a few surprises, like last year¡¯s Astro Robot, at an event held sometime between September and November.",technology,
"These relatively normal-looking specs have a hidden USB-C port on the end of one arm, letting you plug them directly into a?compatible smartphone(opens in new tab). Do this and the glasses will then project an HD image of your phone screen in front of you as if you¡¯re sitting in front of a 130-inch TV ¨C and thanks to the speakers in the glasses it¡¯s like you have your own private cinema.",technology,
"Cloud computing isn¡¯t going anywhere, but some companies that use machine learning models and the tech vendors supplying the platforms to manage them say machine learning is having an on-premises moment. For many years, cloud providers have argued that the computing requirements for machine learning would be far too expensive and cumbersome to start up on their own, but the field is maturing.",technology,
"Forward Matthew Knies has looked like a steal ever since the Leafs selected him in the second round in 2021. After a point-per-game freshman season at the University of Minnesota, he¡¯ll wear Team USA¡¯s colours at this event, just as he did at the Olympic Games in February.",sports,
"When Kansas City came to Toronto from July 14-17, Merrifield was one of 10 players who did not make the trip, barred from travelling to Canada due to restrictions put in place that mandate cross-border travellers be vaccinated to enter the country. America has a similar policy for non-residents, though it has not impacted the Blue Jays, as all their 2022 players had received the requisite COVID-19 vaccine before the deadline.",world,
"Indian wrestler Deepak Punia defeated Pakistan's Muhammad Inam to bag a gold medal in the men's freestyle 86 kg category at CWG 2022. Deepak won the gold medal in his first-ever CWG. India have bagged three gold medals in wrestling at CWG 2022 today. Overall, India have bagged nine gold medals at CWG 2022.",sports,
"Indian wrestler Divya Kakran on Friday bagged her second consecutive bronze medal at CWG. The 24-year-old won her women's freestyle 68 kg bronze medal bout at CWG 2022 in just 26 seconds, defeating Tiger Lily Cocker Lemalie by fall. India have now won a total of 25 medals at CWG 2022.",sports,
"Spanish club Barcelona FC's fans chanted ""Messi, Messi"" outside the Camp Nou stadium during the official unveiling of the club's latest signing Robert Lewandowski on Friday. Former Barcelona skipper Lionel Messi officially ended his 17-year-long association with the Spanish club on August 5 last year due to monetary issues. Notably, Lewandowski has been signed by Barcelona for €45 million.",sports,
"Kolesar, 25, scored seven goals and added 17 assists over 77 games with the Golden Knights in 2021-22, his third season in Vegas. Over 122 career games in the NHL, Kolesar has 10 goals and 27 assists. The native of Brandon, Man., was originally selected by the Columbus Blue Jackets in the third-round, 69th, overall of the 2015 NHL Entry Draft before being traded to the Golden Knights in 2017.",sports,
"The Calgary Flames and recently acquired forward Jonathan Huberdeau have agreed to an $84 million, eight-year contract extension. The 29-year-old Huberdeau came to Calgary from the Florida Panthers with defenceman MacKenzie Weegar, forward Cole Schwindt and a conditional 2025 first-round pick last month for star forward Matthew Tkachuk.",sports,
"Indian President Ram Nath Kovind and Prime Minister Narendra Modi sent greetings to Guru Nanak Jayanti. ""I salute Sri Lankan guru Nanak Dev Ji,"" Prime Minister Modi said on Twitter. May his ideas continue to inspire us to serve society and ensure a better planet."" President Kovind urged citizens to emulate the teachings of guru Nanak Dev in their conduct.",politics,
"She alluded to Judge David Carter, a federal judge in California who ordered right-wing attorney John Eastman to turn over 101 emails from around January 6, 2021, writing in March that he ""finds it more likely than not that President Trump corruptly attempted to obstruct the Joint Session of Congress on January 6, 2021.""",politics,
"In more than a dozen states, legal fights are underway over abortion bans and other laws that greatly limit the procedure after the US Supreme Court ended a constitutional right to an abortion on June 24. On July 26, the Supreme Court entered its judgment in the case, taking the procedural step that will start the process for some states to implement their so-called trigger bans on the procedure.",world,
"On Tuesday, House Speaker Nancy Pelosi landed in Taiwan, becoming the first person of her rank to do so in almost thirty years. Her trip was not officially sanctioned by the Biden Administration, but the President did not publicly dissuade her from going. The Chinese government, which views the island as part of the People¡¯s Republic of China, announced a series of military drills in response.",world,
"New Delhi: Prime Minister Narendra Modi has praised the efforts of party workers for the recently concluded Greater Hyderabad Municipal Corporation (GHMC) poll, according to Telangana BJP president Bandi Sanjay Kumar. ""The prime minister advised BJP workers in Telangana to move forward in the same spirit,"" Kumar said. He added that the prime minister had also asked about attacks on party cadres.",politics,
"Donald Trump¡¯s Save America political action committee ¡ª which raised $250 million on the promise that it would fight voter fraud following the 2020 election ¡ª isn¡¯t just spending its funds to pay the legal bills for Jan. 6 witnesses. The PAC also gave $60,000 to a fashion designer associated with former First Lady Melania Trump.",politics,
"Congress's Rahul Gandhi appears to lack the consistency needed to be accepted as the country's leader, National Congress Party (NCP) president Sharad Pawar said on Thursday. After former US President Barack Obama described Rahul in his memoir, A Promised Land, as ""a student eager to impress his teacher"", Pawar commented, ""I think Obama crossed the line.""",politics,
"Irish MMA fighter Conor McGregor has reportedly teamed up with Jake Gyllenhaal for a remake of 1989 cult classic 'Road House'. The film will be directed by Doug Liman, the filmmaker behind films like 'Mr. & Mrs. Smith', 'The Bourne Identity' and 'Edge of Tomorrow', among others. The original film, directed by Rowdy Herrington, featured Patrick Swayze and Sam Elliott.",entertainment,
"Since they shared an on-screen kiss on Saturday Night Live back in October 2021, things got so hot and heavy it seemed like they would never lose any steam. From their first public hand-holding around Halloween and through the holiday season, the unexpected couple had been going strong.",entertainment,
"Khloe, 38, and Tristan, 31, announced that they were expecting their second child together in mid-July, however, a source told ET at the time that the former couple was not getting back together, following their split over Tristan's paternity scandal.",entertainment,
